NestID,site,trt,stage,year,date,clutch_size,tot_visits,m_visit_rate,f_visit_rate,obs_alt_visits,obs_nonalt_visits,n_visits,obs_prop_alternation,Alt_score,Series
M1,N,C,E,2020,6/4/20,4,18,14,4,6,11,17,0.352941176,-0.030170878,12
M1,N,C,L,2020,6/12/20,4,29,29,0,NA,28,28,NA,NA,13
M10,N,C,E,2020,6/28/20,2,5,3,2,3,1,4,0.75,1.098612289,22
M10,N,C,L,2020,7/6/20,2,4,4,0,NA,3,3,NA,NA,23
M12,N,T,E,2020,6/8/20,4,14,11,3,4,9,13,0.307692308,0.233193887,24
M12,N,T,L,2020,6/16/20,4,23,23,0,NA,22,22,NA,NA,25
M14,N,T,E,2020,6/1/20,2,8,5,3,4,3,7,0.571428571,0.659245629,26
M14,N,T,L,2020,6/9/20,2,23,23,0,NA,22,22,NA,NA,27
M15,N,C,E,2020,5/29/20,4,11,5,6,4,6,10,0.4,-0.405465108,109
M15,N,C,L,2020,6/7/20,4,32,18,14,17,14,31,0.548387097,0.225376032,28
M18,N,C,E,2020,5/28/20,4,15,11,4,8,6,14,0.571428571,0.659245629,113
M18,N,C,L,2020,6/6/20,4,12,4,8,5,6,11,0.454545455,0.066894235,29
M19,N,C,L,2020,7/6/20,2,9,0,9,NA,8,8,NA,NA,30
M2,N,C,E,2020,6/2/20,2,11,4,7,8,2,10,0.8,1.466337069,107
M2,N,C,L,2020,6/11/20,2,11,11,0,NA,10,10,NA,NA,14
M20,N,C,E,2020,5/30/20,4,20,12,8,13,6,19,0.684210526,0.856340257,110
M20,N,C,L,2020,6/7/20,4,26,11,15,15,10,25,0.6,0.453474327,31
M22,N,T,E,2020,6/3/20,1,5,4,1,2,2,4,0.5,0.510825624,32
M22,N,T,L,2020,6/12/20,1,7,5,2,2,4,6,0.333333333,-0.470003629,33
M24,N,T,E,2020,5/31/20,3,4,2,2,1,2,3,0.333333333,-0.916290732,111
M24,N,T,L,2020,6/8/20,3,23,23,0,NA,22,22,NA,NA,34
M27,N,C,E,2020,6/22/20,2,3,1,2,2,NA,2,1,NA,35
M27,N,C,L,2020,7/1/20,2,10,8,2,4,5,9,0.444444444,0.414943852,36
M28,N,T,E,2020,6/8/20,6,6,4,2,4,1,5,0.8,1.466337069,37
M28,N,T,L,2020,6/17/20,6,16,3,13,6,9,15,0.4,0.348306694,38
M3,N,T,E,2020,6/4/20,2,12,9,3,4,7,11,0.363636364,0.29951653,15
M3,N,T,L,2020,6/12/20,2,3,0,3,NA,2,2,NA,NA,16
M30,N,T,E,2020,6/8/20,5,24,14,10,11,12,23,0.47826087,-0.030285396,39
M32,N,C,E,2020,6/26/20,3,22,8,14,15,6,21,0.714285714,1.075355427,40
M32,N,C,L,2020,7/4/20,3,25,1,24,2,22,24,0.083333333,0.046340337,41
M34,N,T,E,2020,6/4/20,7,8,6,2,2,5,7,0.285714286,-0.544727175,112
M34,N,T,L,2020,6/12/20,7,19,19,0,NA,18,18,NA,NA,44
M5,N,T,E,2020,6/2/20,1,2,1,1,1,NA,1,1,NA,17
M5,N,T,L,2020,6/11/20,1,7,7,0,NA,6,6,NA,NA,18
M8,N,T,E,2020,7/9/20,2,13,9,4,8,4,12,0.666666667,0.916290732,19
M8,N,T,L,2020,7/17/20,2,9,0,9,NA,8,8,NA,NA,20
M9,N,C,E,2020,5/26/20,3,16,12,4,8,7,15,0.533333333,0.576175504,108
M9,N,C,L,2020,6/3/20,3,13,0,13,NA,12,12,NA,NA,21
A74,R,C,E,2020,6/18/20,4,16,9,7,11,4,15,0.733333333,1.038269159,10
A87,R,C,E,2020,7/7/20,3,8,4,4,4,3,7,0.571428571,0.328504067,11
C19,U,C,E,2020,6/29/20,2,12,8,4,7,4,11,0.636363636,0.80883158,1
C19,U,C,L,2020,7/8/20,2,18,9,9,8,9,17,0.470588235,-0.110862593,2
C21,U,C,E,2020,6/7/20,3,10,7,3,5,4,9,0.555555556,0.597837001,3
C21,U,C,L,2020,6/17/20,3,38,20,18,24,13,37,0.648648649,0.614565394,4
C22,U,T,E,2020,6/1/20,3,23,13,10,8,14,22,0.363636364,-0.493475985,42
